station,latitude,longitude,elevation_ft
CYVV,44.7458,-81.107201,729
CYWA,45.952202,-77.319199,427
CYWE,64.190804,-114.077002,1208
CYWG,49.90999985,-97.23989868,783
CYWH,48.423782,-123.37198,
CYWJ,65.211098,-123.435997,703
CYWK,52.9219017,-66.86440277,1808
CYWL,52.18310165,-122.0540009,3085
CYXC,49.6108017,-115.7819977,3082
CYXE,52.17079926,-106.6999969,1653
CYXH,50.018902,-110.721001,2352
CYXJ,56.238098,-120.739998,2280
CYXL,50.11389923,-91.90529633,1258
CYXN,62.240002,-92.598099,40
CYXP,66.144878,-65.713606,75
CYXQ,62.41030121,-140.8670044,2131
CYXR,47.69740065,-79.84734535,800
CYXS,53.884311,-122.666554,2267
CYXT,54.468498,-128.576009,713
CYXU,43.035599,-81.1539,912
CYXX,49.025299,-122.361,195
CYXY,60.709599,-135.067001,2317
CYXZ,47.96670151,-84.78669739,942
CYYB,46.363602,-79.422798,1215
CYYC,51.118822,-114.009933,3557
CYYD,54.8246994,-127.1829987,1712
CYYE,58.83639908,-122.5970001,1253
CYYF,49.46310043,-119.6019974,1129
CYYG,46.29000092,-63.12110138,160
CYYH,69.5467,-93.576698,92
CYYJ,48.647201,-123.427792,63
CYYL,56.86389923,-101.0759964,1170
CYYN,50.29190063,-107.6910019,2680
CYYQ,58.73920059,-94.06500244,94
CYYR,53.31919861,-60.42580032,160
CYYT,47.618599,-52.7519,461
CYYU,49.411587,-82.469645,743
CYYW,50.29029846,-88.90969849,1058
CYYY,48.60860062,-68.20809937,172
CYYZ,43.6772,-79.6306,569
CYZE,45.8853,-82.567802,623
CYZF,62.462799,-114.440002,675
CYZG,62.179401,-75.667198,743
CYZH,55.292945,-114.777276,1912
CYZP,53.25429916,-131.8139954,21
CYZR,42.999401,-82.308899,594
CYZS,64.19329834,-83.35939789,210
CYZT,50.68059921,-127.3669968,71
CYZU,54.143902,-115.787003,2567
CYZV,50.22330093,-66.26560211,180
CYZW,60.17279816,-132.7429962,2313
CYZX,44.9844017,-64.91690063,92
CYZY,55.297786,-123.133907,2264
CZBF,47.6297,-65.738899,193
CZEM,52.226398,-78.522499,24
CZFA,62.20750046,-133.3760071,2351
CZFM,67.406993,-134.860182,116
CZFN,64.909496,-125.570297,332
CZMD,53.441399,-91.762802,911
CZMT,54.0275,-132.125,25
CZPC,49.520429,-113.997002,3903
CZSJ,53.06420135,-93.3443985,951
CZST,55.93541045,-129.9824345,24
CZUM,53.56190109,-64.10639954,1442
CZVL,53.6675,-113.853996,2256
